,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa
97,816159,AIR METHODS CORP,2007-03-09,1,0,3,3,0,1,0,0,0,3,0,1,0,0,3164,369.55199999999996,27.537,0.074514547
98,1011696,AIRNET SYSTEMS INC,2007-03-30,0,1,1,0,3,0,0,0,0,0,1,0,0,0,3903,50.373999999999995,3.407,0.067634097
99,1105542,AIRSPAN NETWORKS INC,2007-03-16,3,0,16,27,15,2,0,0,0,5,4,10,1,0,16672,114.021,-30.462,-0.267161312
100,948846,AIRTRAN HOLDINGS INC,2007-03-01,2,0,29,8,9,4,0,0,1,2,4,5,0,0,7296,2048.466,52.683,0.025718269
102,918160,AK STEEL HOLDING CORP,2007-02-27,1,0,20,0,3,0,0,0,0,2,0,2,0,0,1678,5197.4,387.7,0.07459499
105,3116,AKORN INC,2007-03-16,1,0,13,5,9,0,0,0,0,3,1,0,0,0,9421,86.96600000000001,-19.168,-0.220407976
109,897077,ALAMO GROUP INC,2007-03-14,2,0,14,5,1,4,0,0,0,1,1,1,1,0,4039,350.63,12.365,0.035265094
110,766421,ALASKA AIR GROUP INC,2007-02-23,1,0,19,13,3,1,0,0,0,8,2,3,1,0,10735,4490.9,125.0,0.027834064
112,1089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,2007-03-14,3,0,15,3,7,1,0,0,0,10,1,4,0,1,7995,663.203,144.136,0.21733315399999997
113,819793,ALBANY INTERNATIONAL CORP /DE/,2007-03-01,4,0,19,0,6,1,0,0,0,0,0,2,0,0,4272,1526.977,17.782,0.001862637
114,1065087,ALBANY MOLECULAR RESEARCH INC,2007-03-15,6,0,12,1,5,1,0,0,0,2,0,1,0,0,5367,386.654,8.936,0.023111102
115,915913,ALBEMARLE CORP,2007-03-01,0,0,16,4,8,1,0,0,0,0,1,2,0,0,5770,2830.45,229.69,0.081149641
118,902272,ALDILA INC,2007-03-14,0,0,4,6,2,0,0,0,0,4,0,2,0,0,2295,68.488,15.953,0.23293131600000003
119,1270436,ALESCO FINANCIAL INC,2007-03-16,5,0,106,16,13,1,0,0,0,8,13,5,2,0,39618,8935.376,-1261.32,-0.14116026
120,3453,ALEXANDER & BALDWIN INC,2007-02-26,1,0,21,1,3,1,0,0,0,1,1,1,0,0,3841,2479.0,142.0,0.057281162000000004
122,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,2007-03-01,2,0,18,7,2,0,0,0,0,1,2,3,0,0,8081,4642.094,93.72399999999999,0.020190026
123,899866,ALEXION PHARMACEUTICALS INC,2007-02-23,7,0,23,6,4,2,0,2,1,6,2,2,0,0,8973,334.35699999999997,-92.29,-0.276022335
124,743532,ALFA CORP,2007-03-14,4,0,20,0,8,0,0,1,0,3,1,4,0,0,2695,2641.7529999999997,93.508,0.035396193
130,1018963,ALLEGHENY TECHNOLOGIES INC,2007-02-27,8,0,17,6,7,0,0,0,0,1,1,3,0,0,3285,4095.6,747.1,0.182415275
132,66756,ALLETE INC,2007-02-16,3,0,15,2,0,1,0,0,0,1,0,3,0,0,2488,1644.2,87.6,0.05327819
133,1181001,ALLIANCE BANKSHARES CORP,2007-03-16,0,1,9,3,0,1,0,0,0,0,0,2,1,0,1924,541.262,-2.844,-0.005254386999999999
135,1122342,ALLIANCE FIBER OPTIC PRODUCTS INC,2007-03-23,3,0,6,6,5,8,0,0,1,3,2,6,0,0,7223,51.956,3.363,0.064727847
136,796317,ALLIANCE FINANCIAL CORP /NY/,2007-03-15,4,1,20,2,0,0,0,0,0,0,3,1,1,0,3243,1307.281,9.477,0.007249398000000001
141,1086600,ALLIANCE RESOURCE PARTNERS LP,2007-03-01,4,0,31,11,14,5,0,0,3,6,9,4,0,0,23388,701.7230000000001,170.39,0.0006457969999999999
144,352541,ALLIANT ENERGY CORP,2007-03-01,4,0,15,1,1,3,0,0,0,0,5,4,0,0,3100,7189.7,444.0,0.061755011
145,3906,ALLIED CAPITAL CORP,2007-03-01,2,0,11,4,2,4,0,0,0,2,1,0,2,0,4179,5214.576,153.303,0.029398939
148,848865,ALLIED WASTE INDUSTRIES INC,2007-02-23,3,0,5,0,1,1,0,0,0,0,0,1,1,0,5330,13948.7,273.6,0.019614731
151,847935,ALLION HEALTHCARE INC,2007-03-16,2,0,9,5,1,0,0,1,0,3,3,6,0,0,6831,126.616,3.26,0.025747141
154,899051,ALLSTATE CORP,2007-02-22,7,0,31,7,7,0,0,0,0,1,3,7,0,0,5768,156408.0,4636.0,0.029640427999999996
158,799231,ALMOST FAMILY INC,2007-03-30,0,0,28,12,4,0,0,0,0,1,3,3,0,0,10072,67.36,7.604,0.112885986
161,730469,ALPHARMA INC,2007-03-01,2,0,11,5,1,0,0,0,0,0,1,3,0,0,4783,1288.165,-13.581,0.001763477
162,1016546,ALTAIR NANOTECHNOLOGIES INC,2007-03-13,6,0,17,13,9,4,0,0,2,6,4,4,0,0,16257,73.859,-31.471,-0.426095669
163,878903,ALTEON INC /DE,2007-03-22,7,0,7,1,3,1,0,2,1,2,3,4,0,0,8939,16.705,-16.093,-0.963364262
164,768251,ALTERA CORP,2007-02-27,6,0,38,16,1,2,0,0,0,1,2,6,0,0,13088,1769.918,290.02299999999997,0.163862394
166,764180,"ALTRIA GROUP, INC.",2007-03-01,8,0,12,11,8,2,0,0,0,1,7,3,0,0,8511,57211.0,9786.0,0.171051022
167,1018724,AMAZON COM INC,2007-02-16,4,0,28,3,3,2,0,0,0,1,2,2,0,0,6498,6485.0,476.0,0.07340015400000001
170,874501,AMBAC FINANCIAL GROUP INC,2007-03-01,0,0,30,0,2,0,0,0,0,3,1,0,1,0,2830,23565.011000000002,-3248.157,-0.137838128
173,946842,AMBASSADORS INTERNATIONAL INC,2007-03-16,6,0,30,8,13,2,0,0,0,2,6,4,0,0,9202,376.48900000000003,-26.879,-0.07139385200000001
176,714756,AMCORE FINANCIAL INC,2007-03-15,0,0,39,0,0,0,0,0,0,0,0,0,0,0,1496,5192.778,28.241,0.005438515
178,1002910,AMEREN CORP,2007-03-01,5,0,22,10,4,1,0,0,0,0,3,8,0,0,7006,20728.0,629.0,0.030345426
182,877476,AMERICA SERVICE GROUP INC /DE,2007-03-09,2,0,10,3,0,0,0,0,0,0,2,4,0,0,4510,150.92,2.815,0.018652266
185,1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,2007-02-21,4,0,6,2,1,0,0,0,0,1,1,0,0,0,2714,2914.7,37.0,0.012694273999999998
188,1283630,AMERICAN CAMPUS COMMUNITIES INC,2007-03-16,0,0,31,4,5,1,0,0,0,3,2,1,1,0,6948,1076.296,-1.686,-0.001566484
189,817473,AMERICAN CAPITAL STRATEGIES LTD,2007-03-01,4,0,21,0,1,1,0,0,0,0,0,1,1,0,5887,11732.0,700.0,0.059665870999999995
192,1106980,AMERICAN COMMUNITY BANCSHARES INC,2007-03-29,0,1,7,0,3,0,0,0,0,1,3,3,1,0,2788,505.595,5.02,0.009928896
194,1028087,AMERICAN DENTAL PARTNERS INC,2007-03-09,0,0,5,1,1,0,0,0,0,1,1,0,0,0,2100,368.506,-7.716,-0.020938601
196,4904,AMERICAN ELECTRIC POWER CO INC,2007-02-28,6,0,33,1,2,3,0,0,0,5,2,7,0,0,8237,40366.0,1092.0,0.02705247
198,4962,AMERICAN EXPRESS CO,2007-03-01,6,0,98,13,2,0,0,0,0,5,3,2,0,0,26519,149830.0,4012.0,0.026777014
210,97196,AMERICAN INDEPENDENCE CORP,2007-03-16,6,0,37,2,10,3,0,1,0,0,2,2,0,0,7697,146.102,1.138,0.007789079
211,5272,AMERICAN INTERNATIONAL GROUP INC,2007-03-01,1,0,28,0,0,0,0,0,0,1,3,4,0,1,7240,1060505.0,6200.0,0.005846271
212,804138,AMERICAN LAND LEASE INC,2007-03-12,0,1,9,2,3,1,0,0,0,1,2,2,0,0,4838,436.533,14.356,0.032886403
214,1114200,AMERICAN MEDICAL SYSTEMS HOLDINGS INC,2007-02-28,1,0,16,16,5,4,0,0,0,5,0,0,0,0,10768,1116.433,12.9,0.011554657
215,878774,AMERICAN MORTGAGE ACCEPTANCE CO,2007-03-15,0,0,38,0,2,0,0,0,0,2,1,1,0,0,5988,666.3989999999999,-58.582,-0.087908295
217,1090514,AMERICAN ORIENTAL BIOENGINEERING INC,2007-03-13,5,0,13,13,4,0,0,0,0,0,0,1,0,0,8380,353.715,43.291000000000004,0.122389494
218,350832,AMERICAN PACIFIC CORP,2007-01-10,4,0,12,4,4,4,0,0,0,1,4,0,0,0,8587,249.407,4.984,0.019983401
221,813762,AMERICAN REAL ESTATE PARTNERS L P,2007-03-06,4,0,20,7,1,0,0,1,0,4,6,1,0,0,10252,12433.646,308.319,0.024797151
223,1108236,AMERICAN RIVER BANKSHARES,2007-03-09,3,0,55,3,6,0,0,0,0,2,3,2,1,0,9893,573.685,8.478,0.014778145
224,783603,AMERICAN SAFETY INSURANCE HOLDINGS LTD,2007-03-15,5,0,49,8,2,0,0,0,0,0,6,7,0,0,7258,934.0089999999999,28.191999999999997,0.030183863
227,836102,AMERICAN STANDARD COMPANIES INC,2007-02-26,2,1,13,12,3,0,0,0,0,0,1,1,0,0,10309,5097.3,286.3,0.05616699
228,1056903,AMERICAN STATES WATER CO,2007-03-16,0,0,11,4,5,1,0,0,1,0,1,0,0,0,4352,963.898,28.03,0.02907984
229,924383,AMERICAN TECHNOLOGY CORP /DE/,2007-01-08,3,0,12,1,7,2,0,1,0,1,6,8,0,0,7305,13.259,-5.561,-0.419413229
230,1053507,AMERICAN TOWER CORP /MA/,2007-02-28,4,0,15,0,3,0,0,0,0,0,4,2,0,0,4409,8130.456999999999,56.316,0.006926548
231,5981,AMERICAN VANGUARD CORP,2007-03-14,2,0,11,1,3,0,0,0,0,0,1,1,0,0,3087,248.581,18.727999999999998,0.07533962799999999
232,726990,AMERICANWEST BANCORPORATION,2007-03-15,0,0,6,1,1,0,0,0,0,1,2,1,0,0,1733,2120.245,8.538,0.004026893
233,903129,AMERIGON INC,2007-02-20,2,0,14,5,6,3,0,0,0,3,3,0,0,0,4130,55.986000000000004,7.375,0.131729361
237,820027,AMERIPRISE FINANCIAL INC,2007-02-27,6,2,38,5,4,2,0,2,0,1,4,2,0,0,8779,109230.0,814.0,0.007452165
239,707605,AMERISERV FINANCIAL INC /PA/,2007-03-06,0,2,17,5,1,1,0,1,0,0,0,0,1,0,2810,904.878,3.034,0.0033529379999999998
240,912145,AMERISTAR CASINOS INC,2007-03-16,1,0,16,20,7,0,0,0,0,4,1,1,0,0,23617,2412.096,69.433,0.028785339
241,790730,AMERON INTERNATIONAL CORP,2007-02-08,0,0,6,0,1,2,0,0,0,0,1,0,0,0,1003,705.812,67.23899999999999,0.095264745
243,1037868,AMETEK INC/,2007-02-28,0,0,9,9,3,0,0,0,0,1,2,1,0,0,5530,2745.7,228.02,0.083046218
244,318154,AMGEN INC,2007-02-28,6,0,35,20,5,2,1,0,3,1,3,19,0,2,26754,34639.0,3166.0,0.091399867
247,1161963,AMIS HOLDINGS INC,2007-02-28,2,0,13,28,5,1,0,1,0,2,2,3,1,0,15924,852.1,29.4,0.034502992999999996
249,1142750,AMN HEALTHCARE SERVICES INC,2007-03-09,3,1,10,3,2,0,0,0,0,2,1,0,0,0,4277,633.626,36.532,0.057655462000000005
250,6176,AMPCO PITTSBURGH CORP,2007-03-08,3,0,7,2,0,0,0,0,0,0,3,2,0,0,1054,404.392,39.231,0.097012305
251,887433,AMPEX CORP /DE/,2007-03-22,0,0,14,3,2,6,0,1,0,2,3,2,0,0,5263,26.467,0.904,2.98e-05
252,820313,AMPHENOL CORP /DE/,2007-02-21,2,0,9,2,1,0,0,0,0,0,1,0,0,0,2158,2675.7329999999997,353.194,0.13199897
253,6201,AMR CORP,2007-02-23,0,0,14,6,1,2,2,0,1,0,2,3,2,0,7777,28571.0,504.0,0.017640265
257,881464,AMYLIN PHARMACEUTICALS INC,2007-02-26,7,0,17,6,4,3,0,0,0,3,2,5,0,0,8687,1774.211,-211.136,-0.11900275699999999
258,773910,ANADARKO PETROLEUM CORP,2007-02-28,4,0,29,2,3,0,0,0,0,2,1,0,0,0,4486,48481.0,3781.0,0.077989315
259,940332,ANADIGICS INC,2007-02-27,1,0,9,7,5,2,0,0,0,1,0,0,0,0,4928,333.461,5.9510000000000005,0.017846165
260,1128495,ANADYS PHARMACEUTICALS INC,2007-03-15,5,0,16,13,11,3,0,1,0,9,7,10,0,0,15208,61.526,-9.172,-0.149075188
263,1131517,"ANESIVA, INC.",2007-03-12,4,0,9,3,3,0,0,0,0,5,0,3,0,0,7623,109.736,-59.282,-0.54022381
264,310569,"ANHEUSER-BUSCH COMPANIES, INC.",2007-03-01,3,1,10,1,0,0,0,0,0,0,2,1,0,0,1687,17155.0,2115.3,0.123305159
267,1043219,ANNALY CAPITAL MANAGEMENT INC,2007-02-28,0,0,31,3,0,0,0,0,0,3,2,1,0,0,6040,53903.514,414.384,0.007687514
268,874214,ANNTAYLOR STORES CORP,2007-03-22,0,0,10,1,2,1,0,0,0,0,0,2,0,0,2078,1393.755,97.235,0.069764772
270,1057379,ANSWERTHINK INC,2007-03-14,0,0,14,30,5,4,0,0,0,0,1,4,0,0,7398,135.459,8.995,0.066403857
271,1013462,ANSYS INC,2007-02-28,5,0,15,1,7,0,0,1,0,0,2,3,0,0,5101,969.2919999999999,82.39200000000001,0.085002249
273,1050112,ANTHRACITE CAPITAL INC,2007-03-16,1,0,25,0,1,0,0,1,0,0,1,0,0,0,3340,5247.71,83.976,0.016002409
274,1098972,ANTIGENICS INC /DE/,2007-03-16,13,0,27,35,9,1,0,1,1,7,6,5,0,0,27949,44.537,-36.795,-0.826167007
276,1047884,ANWORTH MORTGAGE ASSET CORP,2007-03-16,0,0,73,4,7,0,0,0,1,4,6,4,0,0,13544,4797.519,-156.466,-0.032613941
278,818033,AP PHARMA INC /DE/,2007-03-30,6,0,11,4,0,0,0,0,0,1,1,3,0,0,7717,36.95,-20.163,-0.5456833560000001
282,922864,APARTMENT INVESTMENT & MANAGEMENT CO,2007-03-01,3,0,14,5,3,0,0,0,0,0,0,2,0,0,5013,10606.532,29.910999999999998,0.002820055
284,1019883,APPALACHIAN BANCSHARES INC,2007-03-30,1,0,16,4,0,0,0,0,0,2,0,2,0,0,2769,971.2,5.57,0.0057351730000000005
294,711065,APPLIED MICRO CIRCUITS CORP,2007-01-10,9,0,28,11,15,3,0,1,0,0,3,5,0,0,18528,632.847,-115.12100000000001,-0.181909687
295,741696,APPLIED SIGNAL TECHNOLOGY INC,2007-01-29,4,0,22,23,17,6,0,0,0,5,4,4,0,0,11848,142.733,6.812,0.047725473
297,882289,APRIA HEALTHCARE GROUP INC,2007-03-01,6,0,18,11,2,0,0,1,0,1,4,6,0,0,11409,1597.8020000000001,86.039,0.053848349000000004
298,896622,APTARGROUP INC,2007-02-28,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1011,1911.95,141.739,0.074133215
299,78128,AQUA AMERICA INC,2007-02-28,1,0,9,2,0,0,0,0,0,1,2,0,0,0,2721,3226.9120000000003,95.014,0.029444249
301,66960,AQUILA  INC,2007-03-01,5,0,4,1,2,0,0,0,0,1,0,1,0,0,3094,2993.6,-5.4,-0.0018038479999999998
303,1136655,ARBINET THEXCHANGE INC,2007-03-16,10,0,36,2,5,0,0,2,0,1,1,5,0,0,8586,109.934,-6.941,-0.06313788299999999
308,1072343,ARCH CHEMICALS INC,2007-02-27,0,0,18,2,5,0,0,0,1,1,1,0,0,0,4073,1194.2,35.3,0.029559538
309,1037676,ARCH COAL INC,2007-03-01,7,0,11,1,4,0,0,0,0,0,2,1,0,0,5664,3594.599,174.929,0.048664399000000004
315,1080709,ARENA PHARMACEUTICALS INC,2007-03-06,6,0,26,40,5,2,0,1,1,4,7,8,0,0,22782,487.506,-143.166,-0.293670232
316,1287750,ARES CAPITAL CORP,2007-03-08,4,0,21,2,2,2,0,0,0,0,3,1,0,0,6148,1829.405,90.83200000000001,0.049651115999999995
319,884731,ARIAD PHARMACEUTICALS INC,2007-03-14,5,0,22,12,5,0,0,1,0,3,3,1,0,0,15674,101.105,-58.522,-0.578823995
321,894405,ARKANSAS BEST CORP /DE/,2007-02-23,2,0,7,2,2,1,0,0,0,0,1,1,1,0,3762,983.3489999999999,56.825,0.057787215
326,7536,ARROW ELECTRONICS INC,2007-02-23,2,0,13,5,4,0,0,0,0,0,0,0,0,0,4087,8059.86,407.792,0.05059542
330,863110,ARTESIAN RESOURCES CORP,2007-03-16,0,0,5,1,0,0,0,0,0,0,3,0,0,0,1303,294.589,6.263,0.000341311
331,1005010,ARTHROCARE CORP,2007-02-27,4,0,12,8,2,3,0,0,0,0,0,1,0,0,4854,450.06800000000004,43.18,0.09594105800000001
334,820774,ASHWORTH INC,2007-01-16,6,0,20,9,8,1,0,0,0,1,1,2,1,0,9707,160.414,-14.116,-0.087997307
335,1100969,ASIAINFO HOLDINGS INC,2007-03-14,13,0,23,20,8,3,0,0,0,4,9,6,0,0,18732,308.469,23.627,0.076594407
337,1267395,ASPEN INSURANCE HOLDINGS LTD,2007-02-22,13,0,72,13,5,1,0,1,1,4,8,19,0,0,19769,7201.3,489.0,0.067904406
339,929994,ASSISTED LIVING CONCEPTS INC,2007-03-28,1,0,16,3,1,0,0,0,0,0,1,0,0,0,4578,476.241,17.179000000000002,0.036072072999999996
341,911635,ASSOCIATED ESTATES REALTY CORP,2007-02-28,2,1,20,1,4,0,0,0,0,1,1,0,0,0,2543,686.796,10.165,0.01480061
343,1267238,ASSURANT INC,2007-03-01,2,2,63,6,3,2,0,0,0,3,6,10,0,1,14486,26750.316000000003,653.746,0.024438814
344,1273813,ASSURED GUARANTY LTD,2007-02-28,5,1,36,8,2,3,0,0,0,2,3,2,1,0,9029,3800.3590000000004,-303.272,-0.079800882
345,792987,ASTEC INDUSTRIES INC,2007-03-15,0,0,4,1,1,2,0,0,0,4,0,1,0,0,2819,542.57,56.797,0.10468142400000001
346,910322,ASTORIA FINANCIAL CORP,2007-03-01,0,1,13,0,1,1,0,0,0,0,0,2,1,0,2774,21719.368,124.822,0.005747036
352,1140486,ATHEROS COMMUNICATIONS INC,2007-03-01,6,0,25,20,21,4,0,0,0,16,3,1,1,0,18334,522.137,39.98,0.076569942
357,879585,ATLANTIC TELE NETWORK INC /DE,2007-03-21,1,0,22,14,2,0,0,0,1,3,1,2,0,0,6372,344.626,37.94,0.110090359
359,1279228,ATLAS AMERICA INC,2007-03-02,10,0,53,21,7,4,1,0,0,3,5,7,0,0,29803,4906.529,35.336,0.007201831999999999
361,1041577,ATMI INC,2007-02-23,2,0,7,1,2,1,0,0,0,1,2,1,0,0,2695,492.241,40.539,0.082356
362,1123647,ATP OIL & GAS CORP,2007-03-02,4,0,17,1,3,0,0,0,0,3,2,2,0,0,5019,2307.133,48.62,0.021073774
363,701288,ATRION CORP,2007-03-09,2,0,7,2,2,2,0,0,0,0,1,2,1,0,2647,99.31299999999999,14.005999999999998,0.141028868
365,824068,ATS MEDICAL INC,2007-03-16,5,0,7,5,8,2,0,0,1,4,2,1,0,0,5016,105.897,-23.008000000000003,-0.217267722
367,1023364,AUTOBYTEL  INC,2007-03-15,8,0,11,45,6,4,0,2,0,3,1,8,1,0,18956,122.156,-5.355,-0.043837388
369,1034670,AUTOLIV INC,2007-02-23,0,0,15,4,0,1,0,0,0,0,1,0,0,0,2843,5305.4,287.9,0.054265465
371,1182129,AUXILIUM PHARMACEUTICALS INC,2007-03-13,3,0,37,14,7,2,0,1,0,2,7,10,0,0,17341,106.979,-40.705,-0.38049523700000004
372,1061069,AVALON HOLDINGS CORP,2007-03-20,1,0,1,5,2,0,0,0,0,0,0,1,0,0,2209,47.849,1.4580000000000002,0.030470856
374,915912,AVALONBAY COMMUNITIES INC,2007-03-01,0,0,33,15,10,0,0,0,0,1,2,1,0,0,10022,6736.484,358.16,0.053167201
376,39677,AVATAR HOLDINGS INC,2007-03-16,2,0,13,6,6,0,0,0,0,3,0,0,0,0,4529,706.541,21.383000000000003,0.030264344
377,1285043,AVENTINE RENEWABLE ENERGY HOLDINGS INC,2007-03-05,3,0,23,19,6,3,0,0,0,4,2,2,0,0,18356,762.185,33.799,0.044344877000000005
378,8818,AVERY DENNISON CORPORATION,2007-02-28,6,0,16,5,0,1,0,0,0,0,4,1,0,0,4923,6244.8,303.5,0.048600436
380,1094895,AVICI SYSTEMS INC,2007-03-15,8,0,16,5,7,3,0,0,0,8,4,3,0,0,6741,118.853,62.277,0.523983408
382,932903,AVIGEN INC \DE,2007-03-16,4,0,22,16,6,2,0,0,0,1,0,3,0,0,10662,81.069,-25.164,-0.31040225
383,723612,"AVIS BUDGET GROUP, INC.",2007-03-01,2,0,22,4,4,2,0,1,1,0,1,1,0,1,5379,12474.0,-916.0,-0.07343274
384,104918,AVISTA CORP,2007-02-27,0,0,34,7,3,0,0,0,1,4,5,9,0,0,14270,3189.797,38.475,0.012061896
385,1111632,AVISTAR COMMUNICATIONS CORP,2007-03-22,3,0,8,20,4,0,0,3,1,3,13,9,0,1,17803,10.577,-2.938,-0.277772525
386,1109808,AVOCENT CORP,2007-03-01,6,0,42,18,10,0,0,3,0,12,5,17,1,0,24544,1078.433,45.928999999999995,0.042588645
387,8868,AVON PRODUCTS INC,2007-02-28,2,0,21,1,10,0,0,0,0,0,1,3,1,1,3903,5716.2,530.7,0.092841398
388,1015739,AWARE INC /MA/,2007-03-14,4,0,17,2,3,5,0,0,0,0,2,9,0,0,4337,56.383,0.16,0.002837735
397,1141399,"Abraxis BioScience, Inc.",2007-03-01,7,0,11,22,9,0,0,0,0,1,7,3,0,0,15548,1077.587,34.358000000000004,0.031884201
406,1362988,Aircastle LTD,2007-03-22,2,0,49,2,5,2,0,0,0,13,3,2,1,1,15898,4427.642,127.344,0.028761132999999998
409,1344980,"Alliance Holdings GP, L.P.",2007-03-15,4,0,33,12,15,5,0,0,3,8,9,4,0,0,27248,702.488,87.865,0.12507687
411,1325955,"Alon USA Energy, Inc.",2007-03-15,1,0,13,0,9,0,0,0,0,2,2,1,0,0,5283,1581.386,103.936,0.06572462400000001
509,1344596,"American Railcar Industries, Inc./DE",2007-02-13,0,0,13,7,10,3,0,0,0,0,2,2,0,0,11058,654.384,37.264,0.056945157999999996
512,351569,Ameris Bancorp,2007-03-13,4,0,34,4,1,0,0,0,0,2,8,6,0,0,11851,2112.063,15.152999999999999,0.007174501999999999
