Unnamed: 0,cik,company_name,date,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,at,ni,roa,prcc_f,dvt,Stock Return,Industry
17,816159,AIR METHODS CORP,2007-03-09,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3164.0,369.55199999999996,27.537,0.074514547,49.67,0.0,-43.78900745,"Transportation, Communications, Electric, Gas, Sanitation"
18,1105542,AIRSPAN NETWORKS INC,2007-03-16,3.0,0.0,16.0,27.0,15.0,2.0,0.0,0.0,0.0,5.0,4.0,10.0,1.0,0.0,16672.0,114.021,-30.462,-0.267161312,1.76,4.67,375.5681818,Manufacturing
19,918160,AK STEEL HOLDING CORP,2007-02-27,1.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1678.0,5197.4,387.7,0.07459499,46.24,0.0,-63.45155709,Manufacturing
20,897077,ALAMO GROUP INC,2007-03-14,2.0,0.0,14.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4039.0,350.63,12.365,0.035265094,18.12,2.346,42.41721854,Manufacturing
21,1089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,2007-03-14,3.0,0.0,15.0,3.0,7.0,1.0,0.0,0.0,0.0,10.0,1.0,4.0,0.0,1.0,7995.0,663.203,144.136,0.21733315399999997,15.0,36.84,246.8666667,"Transportation, Communications, Electric, Gas, Sanitation"
22,1065087,ALBANY MOLECULAR RESEARCH INC,2007-03-15,6.0,0.0,12.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5367.0,386.654,8.936,0.023111102,14.38,0.0,-26.56467316,Manufacturing
23,902272,ALDILA INC,2007-03-14,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2295.0,68.488,15.953,0.23293131600000005,16.39,3.258,10.90909091,Manufacturing
24,3453,ALEXANDER & BALDWIN INC,2007-02-26,1.0,0.0,21.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3841.0,2479.0,142.0,0.057281162000000004,51.66,48.0,78.7456446,"Transportation, Communications, Electric, Gas, Sanitation"
25,899866,ALEXION PHARMACEUTICALS INC,2007-02-23,7.0,0.0,23.0,6.0,4.0,2.0,0.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,8973.0,334.35699999999997,-92.29,-0.276022335,75.03,0.0,-46.16819939,Manufacturing
26,1018963,ALLEGHENY TECHNOLOGIES INC,2007-02-27,8.0,0.0,17.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3285.0,4095.6,747.1,0.182415275,86.4,58.1,72.19907407,Manufacturing
27,1181001,ALLIANCE BANKSHARES CORP,2007-03-16,0.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1924.0,541.262,-2.844,-0.005254386999999999,6.52,0.0,140.0306748,Retail Trade
28,796317,ALLIANCE FINANCIAL CORP /NY/,2007-03-15,4.0,1.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3243.0,1307.281,9.477,0.0072493980000000015,26.0,4.291,39.04230769,Retail Trade
29,352541,ALLIANT ENERGY CORP,2007-03-01,4.0,0.0,15.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,3100.0,7189.7,444.0,0.061755011,40.69,161.9,390.7102482,"Transportation, Communications, Electric, Gas, Sanitation"
30,848865,ALLIED WASTE INDUSTRIES INC,2007-02-23,3.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5330.0,13948.7,273.6,0.019614731,11.02,37.5,351.814882,"Transportation, Communications, Electric, Gas, Sanitation"
31,899051,ALLSTATE CORP,2007-02-22,7.0,0.0,31.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,5768.0,156408.0,4636.0,0.029640427999999996,52.23,901.0,1749.722382,"Finance, Insurance, and Real Estate"
32,730469,ALPHARMA INC,2007-03-01,2.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4783.0,1288.165,-13.581,0.001763477,20.15,0.0,,    Manufacturing
33,878903,ALTEON INC /DE,2007-03-22,7.0,0.0,7.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,3.0,4.0,0.0,0.0,8939.0,16.705,-16.093,-0.963364262,2.2,3.854,82,Manufacturing
34,764180,"ALTRIA GROUP, INC.",2007-03-01,8.0,0.0,12.0,11.0,8.0,2.0,0.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,8511.0,57211.0,9786.0,0.171051022,75.58,6430.0,8521.090236,Manufacturing
35,874501,AMBAC FINANCIAL GROUP INC,2007-03-01,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2830.0,23565.011000000002,-3248.157,-0.137838128,25.77,79.566,554.3888242,"Finance, Insurance, and Real Estate"
36,714756,AMCORE FINANCIAL INC,2007-03-15,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.0,5192.778,28.241,0.005438515,22.7,16.829,118.0572687,Retail Trade
37,877476,AMERICA SERVICE GROUP INC /DE,2007-03-09,2.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,4510.0,150.92,2.815,0.018652266,7.33,0.0,117.8717599,Services
38,1283630,AMERICAN CAMPUS COMMUNITIES INC,2007-03-16,0.0,0.0,31.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,6948.0,1076.296,-1.686,-0.001566484,26.85,32.962,128.7970205,"Finance, Insurance, and Real Estate"
39,1106980,AMERICAN COMMUNITY BANCSHARES INC,2007-03-29,0.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,0.0,2788.0,505.595,5.02,0.009928896,9.59,1.348,29.17622523,Retail Trade
40,4904,AMERICAN ELECTRIC POWER CO INC,2007-02-28,6.0,0.0,33.0,1.0,2.0,3.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,8237.0,40366.0,1092.0,0.02705247,46.56,633.0,1350.987973,"Transportation, Communications, Electric, Gas, Sanitation"
41,97196,AMERICAN INDEPENDENCE CORP,2007-03-16,6.0,0.0,37.0,2.0,10.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,7697.0,146.102,1.138,0.007789079,9.05,0.0,19.33701657,"Finance, Insurance, and Real Estate"
42,804138,AMERICAN LAND LEASE INC,2007-03-12,0.0,1.0,9.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4838.0,436.533,14.356,0.032886403,19.83,9.874,83.4795764,"Finance, Insurance, and Real Estate"
43,878774,AMERICAN MORTGAGE ACCEPTANCE CO,2007-03-15,0.0,0.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5988.0,666.3989999999999,-58.582,-0.087908295,1.1,6.2,1998.181818,"Finance, Insurance, and Real Estate"
44,350832,AMERICAN PACIFIC CORP,2007-01-10,4.0,0.0,12.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,8587.0,249.407,4.984,0.019983401,15.62,0.0,-50.9603073,Manufacturing
45,1108236,AMERICAN RIVER BANKSHARES,2007-03-09,3.0,0.0,55.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,9893.0,573.685,8.478,0.014778145,17.14,3.319,59.32905484,Retail Trade
46,836102,AMERICAN STANDARD COMPANIES INC,2007-02-26,2.0,1.0,13.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10309.0,5097.3,286.3,0.05616699,46.71,135.8,288.8888889,Manufacturing
47,924383,AMERICAN TECHNOLOGY CORP /DE/,2007-01-08,3.0,0.0,12.0,1.0,7.0,2.0,0.0,1.0,0.0,1.0,6.0,8.0,0.0,0.0,7305.0,13.259,-5.561,-0.419413229,3.8,0.0,0.526315789,Manufacturing
48,5981,AMERICAN VANGUARD CORP,2007-03-14,2.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3087.0,248.581,18.727999999999998,0.07533962799999999,17.35,1.838,2.236311239,Manufacturing
49,903129,AMERIGON INC,2007-02-20,2.0,0.0,14.0,5.0,6.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4130.0,55.986000000000004,7.375,0.131729361,21.14,0.0,-54.30463576,Manufacturing
50,707605,AMERISERV FINANCIAL INC /PA/,2007-03-06,0.0,2.0,17.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2810.0,904.878,3.034,0.0033529379999999998,2.77,0.0,77.97833935,Retail Trade
51,790730,AMERON INTERNATIONAL CORP,2007-02-08,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1003.0,705.812,67.23899999999999,0.095264745,105.78,8.208,-21.1401021,Manufacturing
52,318154,AMGEN INC,2007-02-28,6.0,0.0,35.0,20.0,5.0,2.0,1.0,0.0,3.0,1.0,3.0,19.0,0.0,2.0,26754.0,34639.0,3166.0,0.091399867,46.44,0.0,47.09302326,Manufacturing
53,1142750,AMN HEALTHCARE SERVICES INC,2007-03-09,3.0,1.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4277.0,633.626,36.532,0.05765546200000001,17.17,0.0,60.3960396,Services
54,887433,AMPEX CORP /DE/,2007-03-22,0.0,0.0,14.0,3.0,2.0,6.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,5263.0,26.467,0.904,2.98e-05,3.02,0.0,n/a    Manufacturing,
55,6201,AMR CORP,2007-02-23,0.0,0.0,14.0,6.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,7777.0,28571.0,504.0,0.017640265,14.03,0.0,115.4668567,"Transportation, Communications, Electric, Gas, Sanitation"
56,773910,ANADARKO PETROLEUM CORP,2007-02-28,4.0,0.0,29.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4486.0,48481.0,3781.0,0.077989315,65.69,173.0,229.6087685,Mining
57,1128495,ANADYS PHARMACEUTICALS INC,2007-03-15,5.0,0.0,16.0,13.0,11.0,3.0,0.0,1.0,0.0,9.0,7.0,10.0,0.0,0.0,15208.0,61.526,-9.172,-0.149075188,1.61,0.0,205.5900621,Manufacturing
58,310569,"ANHEUSER-BUSCH COMPANIES, INC.",2007-03-01,3.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1687.0,17155.0,2115.3,0.123305159,52.34,932.4,1775.429882,Manufacturing
59,874214,ANNTAYLOR STORES CORP,2007-03-22,0.0,0.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2078.0,1393.755,97.235,0.069764772,25.13,0.0,37.28611222,Retail Trade
60,1013462,ANSYS INC,2007-02-28,5.0,0.0,15.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,5101.0,969.2919999999999,82.39200000000002,0.085002249,41.46,0.0,4.896285576,Services
61,1098972,ANTIGENICS INC /DE/,2007-03-16,13.0,0.0,27.0,35.0,9.0,1.0,0.0,1.0,1.0,7.0,6.0,5.0,0.0,0.0,27949.0,44.537,-36.795,-0.826167007,2.04,0.79,28.43137255,Manufacturing
62,818033,AP PHARMA INC /DE/,2007-03-30,6.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,7717.0,36.95,-20.163,-0.5456833560000001,1.58,0.0,-13.29113924,Manufacturing
63,1019883,APPALACHIAN BANCSHARES INC,2007-03-30,1.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2769.0,971.2,5.57,0.0057351730000000005,9.85,0.0,95.43147208,Retail Trade
64,741696,APPLIED SIGNAL TECHNOLOGY INC,2007-01-29,4.0,0.0,22.0,23.0,17.0,6.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,11848.0,142.733,6.812,0.047725473,14.37,6.131,45.93597773,Manufacturing
65,896622,APTARGROUP INC,2007-02-28,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,1911.95,141.739,0.074133215,40.91,34.439,128.4991445,Manufacturing
66,66960,AQUILA  INC,2007-03-01,5.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3094.0,2993.6,-5.4,-0.0018038479999999998,3.73,0.0,26.00536193,"Transportation, Communications, Electric, Gas, Sanitation"
67,1072343,ARCH CHEMICALS INC,2007-02-27,0.0,0.0,18.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4073.0,1194.2,35.3,0.029559538,36.75,19.6,43.97278912,Manufacturing
68,1080709,ARENA PHARMACEUTICALS INC,2007-03-06,6.0,0.0,26.0,40.0,5.0,2.0,0.0,1.0,1.0,4.0,7.0,8.0,0.0,0.0,22782.0,487.506,-143.166,-0.293670232,7.83,2.114,91.87739464,Manufacturing
69,884731,ARIAD PHARMACEUTICALS INC,2007-03-14,5.0,0.0,22.0,12.0,5.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,15674.0,101.105,-58.522,-0.578823995,4.25,0.0,20.94117647,Manufacturing
70,7536,ARROW ELECTRONICS INC,2007-02-23,2.0,0.0,13.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4087.0,8059.86,407.792,0.05059542,39.28,0.0,-19.67922607,Wholesale Trade
71,1005010,ARTHROCARE CORP,2007-02-27,4.0,0.0,12.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4854.0,450.06800000000004,43.18,0.09594105800000001,48.05,0.0,-16.91987513,Manufacturing
72,1100969,ASIAINFO HOLDINGS INC,2007-03-14,13.0,0.0,23.0,20.0,8.0,3.0,0.0,0.0,0.0,4.0,9.0,6.0,0.0,0.0,18732.0,308.469,23.627,0.076594407,11.0,0.0,-30.18181818,Services
73,929994,ASSISTED LIVING CONCEPTS INC,2007-03-28,1.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4578.0,476.241,17.179000000000002,0.036072072999999996,7.5,0.0,31.86666667,Services
74,1267238,ASSURANT INC,2007-03-01,2.0,2.0,63.0,6.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,10.0,0.0,1.0,14486.0,26750.31600000001,653.746,0.024438814,66.9,55.038,64.85500747,"Finance, Insurance, and Real Estate"
75,792987,ASTEC INDUSTRIES INC,2007-03-15,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2819.0,542.57,56.797,0.10468142400000001,37.19,0.0,-5.619790266,Manufacturing
76,1140486,ATHEROS COMMUNICATIONS INC,2007-03-01,6.0,0.0,25.0,20.0,21.0,4.0,0.0,0.0,0.0,16.0,3.0,1.0,1.0,0.0,18334.0,522.137,39.98,0.076569942,30.54,0.0,-30.18991487,Manufacturing
77,1279228,ATLAS AMERICA INC,2007-03-02,10.0,0.0,53.0,21.0,7.0,4.0,1.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,29803.0,4906.529,35.336,0.007201831999999998,59.18,3.584,-7.81683001,"Transportation, Communications, Electric, Gas, Sanitation"
78,1123647,ATP OIL & GAS CORP,2007-03-02,4.0,0.0,17.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,5019.0,2307.133,48.62,0.021073774,50.54,0.0,-21.70557974,Mining
79,824068,ATS MEDICAL INC,2007-03-16,5.0,0.0,7.0,5.0,8.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,5016.0,105.897,-23.00800000000001,-0.217267722,2.21,0.0,-6.334841629,Manufacturing
80,1034670,AUTOLIV INC,2007-02-23,0.0,0.0,15.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2843.0,5305.4,287.9,0.054265465,52.71,119.7,241.4911781,Manufacturing
81,1061069,AVALON HOLDINGS CORP,2007-03-20,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2209.0,47.849,1.4580000000000002,0.030470856,5.3999,0.0,33.33580251,"Transportation, Communications, Electric, Gas, Sanitation"
82,39677,AVATAR HOLDINGS INC,2007-03-16,2.0,0.0,13.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4529.0,706.541,21.383000000000006,0.030264344,41.82,0.0,93.32855093,Construction
83,8818,AVERY DENNISON CORPORATION,2007-02-28,6.0,0.0,16.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,4923.0,6244.8,303.5,0.048600436,53.14,171.8,351.129093,Manufacturing
84,932903,AVIGEN INC \DE,2007-03-16,4.0,0.0,22.0,16.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,10662.0,81.069,-25.164,-0.31040225,4.25,0.0,24.23529412,Manufacturing
85,104918,AVISTA CORP,2007-02-27,0.0,0.0,34.0,7.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0,9.0,0.0,0.0,14270.0,3189.797,38.475,0.012061896,21.54,31.451,163.5143918,"Transportation, Communications, Electric, Gas, Sanitation"
86,1109808,AVOCENT CORP,2007-03-01,6.0,0.0,42.0,18.0,10.0,0.0,0.0,3.0,0.0,12.0,5.0,17.0,1.0,0.0,24544.0,1078.433,45.928999999999995,0.042588645,23.31,0.0,45.21664522,Manufacturing
87,1015739,AWARE INC /MA/,2007-03-14,4.0,0.0,17.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,4337.0,56.383,0.16,0.002837735,4.2,0.0,26.9047619,Services
88,1362988,Aircastle LTD,2007-03-22,2.0,0.0,49.0,2.0,5.0,2.0,0.0,0.0,0.0,13.0,3.0,2.0,1.0,1.0,15898.0,4427.642,127.344,0.028761132999999998,26.33,172.922,668.7884542,Services
89,1325955,"Alon USA Energy, Inc.",2007-03-15,1.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5283.0,1581.386,103.936,0.06572462400000001,27.18,7.49,24.35614422,Manufacturing
90,351569,Ameris Bancorp,2007-03-13,4.0,0.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,0.0,0.0,11851.0,2112.063,15.152999999999999,0.007174501999999998,16.85,7.581,112.231454,Retail Trade
91,808362,BAKER HUGHES INC,2007-02-23,2.0,0.0,19.0,10.0,2.0,0.0,0.0,1.0,0.0,7.0,6.0,1.0,0.0,0.0,6959.0,9856.6,1513.9,0.15359251699999998,81.1,166.2,196.9913687,Mining
92,9326,BALCHEM CORP,2007-03-15,2.0,0.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4656.0,154.424,16.118,0.016558438999999998,22.38,1.975,472183.3418,Manufacturing
93,9389,BALL CORP,2007-02-22,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3104.0,6020.6,281.3,0.046722917999999995,45.0,40.2,86.22222222,Manufacturing
94,783739,BANCTRUST FINANCIAL GROUP INC,2007-03-15,3.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2581.0,2240.094,6.186,0.0027614909999999996,12.1,6.689,166.1900826,Retail Trade
95,70858,BANK OF AMERICA CORP /DE/,2007-02-28,2.0,0.0,51.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,2512.0,1715746.0,14982.0,0.008732061999999999,41.26,10878.0,26393.91663,Retail Trade
96,810689,BANK OF GRANITE CORP,2007-03-15,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1088.0,1219.1480000000001,-15.302999999999999,-0.012552209,10.57,8.163,156.6982025,Retail Trade
97,921768,BANKATLANTIC BANCORP INC,2007-03-01,0.0,0.0,21.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3759.0,6378.816999999999,-22.2,-0.0034802690000000002,4.1,7.439,418.2682927,Retail Trade
98,743367,BAR HARBOR BANKSHARES,2007-03-16,4.0,0.0,34.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3178.0,889.472,7.155,0.008044098000000001,31.4,2.899,10.34713376,Retail Trade
99,9984,BARNES GROUP INC,2007-02-26,1.0,0.0,19.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6307.0,1539.335,101.337,0.065831674,33.39,29.111,52.32404912,Manufacturing
100,10329,BASSETT FURNITURE INDUSTRIES INC,2007-02-13,0.0,0.0,13.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1963.0,310.703,-9.91,-0.031895411,8.9,9.454,205.1011236,Manufacturing
101,861361,BE AEROSPACE INC,2007-02-16,1.0,0.0,9.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3589.0,1772.0,147.3,0.083126411,52.9,0.0,-51.45557656,Manufacturing
102,777001,BEAR STEARNS COMPANIES INC,2007-02-13,0.0,0.0,32.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2517.0,395362.0,233.0,0.000589333,99.7,180.0,233.4804413,"Finance, Insurance, and Real Estate"
103,1281696,BEIJING MED PHARM CORP,2007-03-26,5.0,0.0,18.0,4.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,7557.0,80.923,-11.635,-0.143778654,10.98,0.0,-40.80145719,Manufacturing
104,356080,BELO CORP,2007-03-01,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,3413.0,3179.06,-262.813,0.008927938,17.44,51.12300000000001,696511.398,"Transportation, Communications, Electric, Gas, Sanitation"
