,uncertain,unemploy,risk,believe,anticipate,fluctuate,indefinite,likelihood,unlikely,likely,possible,predict,recession,pandemic,total words,cik,company_name,date,at,ni,roa
24,7.0,1.0,21.0,5.0,10.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,7012.0,1018840,ABERCROMBIE & FITCH  -CL A,2015-03-30,2433.0389999999998,35.576,0.002388048
25,5.0,0.0,33.0,5.0,4.0,3.0,0.0,0.0,1.0,4.0,4.0,7.0,0.0,0.0,10587.0,867665,ABRAXAS PETROLEUM CORP/NV,2015-03-13,267.872,-127.11,-0.47451768
26,9.0,0.0,17.0,15.0,5.0,7.0,0.0,1.0,0.0,0.0,5.0,9.0,0.0,0.0,6237.0,934549,ACACIA RESEARCH CORP,2015-03-02,347.901,-160.036,-0.46000442700000005
27,5.0,0.0,22.0,11.0,6.0,4.0,0.0,1.0,0.0,8.0,4.0,10.0,0.0,0.0,17850.0,1070494,ACADIA PHARMACEUTICALS INC,2015-02-26,221.896,-164.44299999999998,-0.741081408
28,6.0,1.0,36.0,5.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,11843.0,899629,ACADIA REALTY TRUST,2015-02-20,3032.3190000000004,65.708,0.021669223999999997
29,8.0,0.0,34.0,9.0,21.0,0.0,0.0,1.0,1.0,4.0,4.0,10.0,0.0,0.0,15170.0,1280600,ACCELERON PHARMA INC,2015-03-02,146.33700000000002,-63.894,-0.43662231700000004
30,2.0,5.0,65.0,12.0,2.0,2.0,0.0,0.0,0.0,1.0,6.0,6.0,3.0,0.0,15604.0,1176316,ACCESS NATIONAL CORP,2015-03-11,1178.548,15.419,0.013083048
31,6.0,0.0,36.0,5.0,6.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,9445.0,712034,ACCO BRANDS CORP,2015-02-25,1953.4,85.9,0.043974608
32,7.0,0.0,45.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.0,3.0,9308.0,896159,CHUBB LTD,2015-02-27,102366.0,2834.0,0.027684973999999998
33,15.0,0.0,80.0,26.0,25.0,0.0,1.0,2.0,1.0,12.0,13.0,13.0,0.0,0.0,45642.0,1427925,ACELRX PHARMACEUTICALS INC,2015-03-13,127.785,-24.399,-0.190937904
34,6.0,0.0,30.0,13.0,13.0,5.0,0.0,0.0,0.0,2.0,4.0,11.0,0.0,0.0,16791.0,1070336,ACHILLION PHARMACEUTICALS,2015-03-05,464.525,-5.03,-0.010828265
35,1.0,0.0,22.0,5.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6742.0,935036,ACI WORLDWIDE INC,2015-02-26,1990.2120000000002,85.436,0.04292809
36,4.0,0.0,15.0,3.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,3355.0,2098,ACME UNITED CORP,2015-03-06,81.421,4.794,0.058879159
37,2.0,2.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,1.0,2.0,7604.0,715579,ACNB CORP,2015-03-06,1147.925,11.017000000000001,0.009597317
38,9.0,0.0,37.0,11.0,2.0,2.0,0.0,0.0,0.0,4.0,9.0,4.0,0.0,0.0,20395.0,1008848,ACORDA THERAPEUTICS INC,2015-02-27,1116.343,11.058,0.009905558
39,6.0,0.0,24.0,15.0,12.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,18336.0,880984,ACORN ENERGY INC,2015-03-31,24.33,-10.599,-0.435635018
40,5.0,0.0,25.0,17.0,11.0,3.0,0.0,2.0,0.0,9.0,7.0,6.0,3.0,0.0,11071.0,1044435,P10 HOLDINGS INC,2015-02-27,30.595,-6.459,-0.211112927
42,6.0,0.0,12.0,9.0,9.0,3.0,1.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,15691.0,786947,ACURA PHARMACEUTICALS INC,2015-03-02,16.961,-4.989,-0.294145392
43,1.0,0.0,15.0,5.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,6868.0,2178,ADAMS RESOURCES & ENERGY INC,2015-03-13,243.215,-1.275,-0.005242275
44,1.0,3.0,20.0,13.0,6.0,3.0,0.0,0.0,0.0,2.0,6.0,12.0,3.0,0.0,13942.0,1004724,REGIONAL HEALTH PROPERTS INC,2015-03-31,171.985,-23.518,-0.136744484
47,4.0,0.0,27.0,7.0,9.0,1.0,0.0,1.0,0.0,5.0,8.0,8.0,1.0,0.0,16698.0,1368514,ADMA BIOLOGICS INC,2015-03-09,23.715,-17.97,-0.7577482609999999
48,6.0,1.0,28.0,3.0,12.0,2.0,0.0,1.0,0.0,3.0,3.0,7.0,0.0,1.0,9427.0,796343,ADOBE INC,2015-01-20,11726.472,629.5509999999999,0.053686309
50,6.0,0.0,18.0,8.0,10.0,6.0,0.0,2.0,0.0,1.0,3.0,9.0,0.0,1.0,8518.0,926282,ADTRAN INC,2015-02-24,632.904,18.646,0.029461024
51,4.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,4870.0,1158449,ADVANCE AUTO PARTS INC,2015-03-03,8134.565,473.398,0.058195859
52,8.0,0.0,33.0,5.0,20.0,3.0,0.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,9800.0,927003,ADVANCED ENERGY INDS INC,2015-02-26,462.68800000000005,-158.486,-0.342533197
53,14.0,0.0,24.0,18.0,12.0,1.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,21040.0,2488,ADVANCED MICRO DEVICES,2015-02-19,3109.0,-660.0,-0.212286909
55,4.0,0.0,27.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,11996.0,785787,AEP INDUSTRIES INC,2015-01-14,440.205,28.837,0.06550811599999999
56,12.0,0.0,38.0,18.0,19.0,0.0,0.0,2.0,1.0,4.0,9.0,8.0,0.0,0.0,21833.0,1337553,AERIE PHARMACEUTICALS INC,2015-02-27,159.127,-74.363,-0.467318557
57,17.0,0.0,46.0,14.0,24.0,8.0,0.0,0.0,0.0,12.0,8.0,13.0,0.0,1.0,23247.0,1372414,AEROHIVE NETWORKS INC,2015-03-17,140.914,-46.195,-0.327824063
58,5.0,2.0,15.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6089.0,1168213,ARO LIQUIDATION INC,2015-03-30,354.38300000000004,-136.94299999999998,-0.38642655
59,24.0,0.0,115.0,6.0,8.0,4.0,0.0,1.0,0.0,15.0,11.0,17.0,0.0,0.0,46205.0,874761,AES CORP (THE),2015-02-26,36850.0,306.0,0.008303935
60,1.0,0.0,24.0,11.0,9.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,8789.0,1004434,AFFILIATED MANAGERS GRP INC,2015-02-23,7784.8,516.0,0.066283013
62,4.0,0.0,26.0,4.0,4.0,8.0,0.0,2.0,1.0,3.0,4.0,7.0,0.0,0.0,10002.0,913077,AFFYMETRIX INC,2015-02-18,546.891,10.113,0.018491801999999998
63,9.0,1.0,93.0,6.0,7.0,1.0,0.0,2.0,3.0,1.0,3.0,5.0,2.0,1.0,12291.0,4977,AFLAC INC,2015-02-26,118296.0,2533.0,0.021412389
64,9.0,1.0,71.0,8.0,10.0,0.0,0.0,0.0,1.0,8.0,12.0,11.0,0.0,0.0,23524.0,1514281,AG MORTGAGE INVESTMENT TRUST,2015-03-02,3164.0759999999996,13.818,0.004367152
65,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723.0,105608,AG&E HOLDINGS INC,2015-03-23,6.023,-0.499,-0.082849079
66,1.0,0.0,20.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,5078.0,880266,AGCO CORP,2015-02-27,6501.3,266.4,0.04097642
67,15.0,0.0,43.0,17.0,20.0,1.0,0.0,3.0,0.0,5.0,8.0,11.0,0.0,0.0,26575.0,1098972,AGENUS INC,2015-03-16,242.22799999999998,-87.881,-0.362802814
68,14.0,0.0,58.0,19.0,24.0,2.0,1.0,1.0,0.0,11.0,8.0,10.0,0.0,0.0,31606.0,1261249,AGILE THERAPEUTICS INC,2015-03-26,50.711999999999996,-30.335,-0.59818189
69,10.0,0.0,35.0,6.0,17.0,2.0,0.0,2.0,1.0,9.0,8.0,7.0,0.0,0.0,18558.0,1439222,AGIOS PHARMACEUTICALS,2015-02-24,420.065,-117.73200000000001,-0.28027091
70,4.0,0.0,43.0,4.0,5.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,6757.0,1004155,SOUTHERN CO GAS,2015-02-12,14754.0,353.0,0.023925715
71,2.0,0.0,61.0,9.0,12.0,1.0,0.0,0.0,0.0,21.0,1.0,3.0,3.0,1.0,19799.0,1487712,AIR LEASE CORP,2015-02-26,12355.098,253.391,0.020509024
72,1.0,1.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4657.0,816159,AIR METHODS CORP,2015-02-27,1557.281,108.645,0.069765829
73,2.0,0.0,44.0,2.0,6.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,5826.0,918160,AK STEEL HOLDING CORP,2015-02-20,4084.4,-509.0,-0.12462050699999999
74,2.0,0.0,12.0,5.0,6.0,2.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0,1.0,8358.0,1086222,AKAMAI TECHNOLOGIES INC,2015-03-02,4187.925,321.406,0.076745883
75,3.0,0.0,30.0,10.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,16016.0,3116,AKORN INC,2015-03-17,2112.71,150.798,0.071376573
77,4.0,1.0,16.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5120.0,897077,ALAMO GROUP INC,2015-03-06,603.503,43.208999999999996,0.071596993
78,5.0,0.0,18.0,13.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,11026.0,766421,ALASKA AIR GROUP INC,2015-02-11,6533.0,848.0,0.129802541
79,7.0,0.0,34.0,12.0,9.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0,0.0,1.0,14886.0,1089511,ALASKA COMMUNICATIONS SYS GP,2015-03-16,463.601,12.954,0.027942131000000002
80,5.0,0.0,44.0,10.0,7.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,0.0,0.0,9079.0,819793,ALBANY INTL CORP  -CL A,2015-02-27,1009.562,57.278999999999996,0.001231484
81,3.0,0.0,27.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6603.0,1065087,ALBANY MOLECULAR RESH INC,2015-03-16,865.567,-2.301,-0.002658373
82,2.0,0.0,23.0,6.0,11.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,9048.0,915913,ALBEMARLE CORP,2015-03-02,9615.014000000001,334.906,0.034831567
84,22.0,0.0,49.0,48.0,23.0,6.0,0.0,2.0,1.0,7.0,12.0,17.0,0.0,0.0,37824.0,1423824,ALDER BIOPHARMACEUTICALS INC,2015-03-13,400.027,-85.47,-0.21366057800000002
85,12.0,1.0,23.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,5.0,8.0,1.0,0.0,12020.0,1145460,ALERE INC,2015-03-05,5957.170999999999,206.37599999999998,0.03464329
86,5.0,2.0,20.0,5.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,8577.0,3499,ALEXANDER'S INC,2015-02-17,1447.808,76.907,0.053119612999999996
87,26.0,2.0,68.0,12.0,11.0,3.0,0.0,0.0,0.0,10.0,7.0,11.0,1.0,0.0,21897.0,1035443,ALEXANDRIA R E EQUITIES INC,2015-02-24,8911.12,144.217,0.016183936
88,8.0,0.0,51.0,10.0,13.0,2.0,0.0,3.0,1.0,3.0,6.0,11.0,0.0,0.0,19202.0,899866,ALEXION PHARMACEUTICALS INC,2015-02-06,13133.23,144.385,0.010993868
89,6.0,0.0,31.0,16.0,10.0,6.0,1.0,1.0,1.0,1.0,5.0,17.0,0.0,0.0,18294.0,1097149,ALIGN TECHNOLOGY INC,2015-02-26,1158.633,144.02,0.124301655
90,12.0,0.0,34.0,11.0,10.0,1.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,0.0,18716.0,1267602,ALIMERA SCIENCES INC,2015-03-13,70.484,-30.645,-0.434779524
91,12.0,0.0,132.0,3.0,4.0,7.0,0.0,0.0,0.0,1.0,6.0,12.0,0.0,2.0,24008.0,775368,ALLEGHANY CORP,2015-02-24,22846.333,557.715,0.024411576
92,8.0,0.0,20.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,3545.0,1018963,ALLEGHENY TECHNOLOGIES INC,2015-02-26,5751.7,-377.9,-0.065702314
94,8.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3599.0,66756,ALLETE INC,2015-02-17,4907.1,141.1,0.028754254
95,1.0,1.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8089.0,1101215,ALLIANCE DATA SYSTEMS CORP,2015-02-27,22421.83,551.516,0.024597279
96,5.0,2.0,7.0,16.0,7.0,7.0,0.0,0.0,1.0,4.0,2.0,8.0,2.0,0.0,11354.0,1122342,ALLIANCE FIBER OPTIC PRODUCT,2015-03-13,80.633,13.038,0.161695584
97,4.0,0.0,27.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.0,6408.0,825313,ALLIANCEBERNSTEIN HOLDING LP,2015-02-12,1589.965,188.178,0.118353549
99,6.0,0.0,19.0,6.0,14.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,17723.0,352541,ALLIANT ENERGY CORP,2015-02-25,12495.2,388.4,0.031083936
100,10.0,0.0,44.0,21.0,8.0,0.0,1.0,1.0,0.0,6.0,11.0,9.0,0.0,1.0,19891.0,1124804,ALLSCRIPTS HEALTHCARE SOLTNS,2015-03-02,2681.948,-2.226,-0.0008299939999999999
101,6.0,1.0,46.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,5.0,8689.0,899051,ALLSTATE CORP,2015-02-19,104656.0,2171.0,0.020744152
103,1.0,0.0,40.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,17107.0,799231,ALMOST FAMILY INC,2015-02-27,464.769,20.009,0.043051494
104,11.0,0.0,35.0,13.0,8.0,4.0,0.0,0.0,0.0,9.0,5.0,9.0,0.0,0.0,18454.0,1178670,ALNYLAM PHARMACEUTICALS INC,2015-02-13,1386.51,-290.073,-0.209210896
106,2.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1967.0,884269,ALPHA PRO TECH LTD,2015-03-06,39.134,1.041,0.02660091
109,8.0,0.0,21.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0,0.0,5223.0,764180,ALTRIA GROUP INC,2015-02-25,32535.0,5241.0,0.161088059
110,11.0,0.0,45.0,4.0,7.0,5.0,0.0,2.0,1.0,7.0,3.0,3.0,0.0,0.0,22699.0,792977,AMAG PHARMACEUTICALS INC,2015-02-18,2487.4320000000002,32.779,0.013177848
111,5.0,0.0,33.0,28.0,20.0,3.0,2.0,0.0,0.0,7.0,7.0,9.0,0.0,0.0,21488.0,897448,AMARIN CORP,2015-03-03,173.46200000000002,-115.204,-0.664145461
112,4.0,0.0,30.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6360.0,1018724,AMAZON.COM INC,2015-01-30,65444.0,596.0,0.009107023
113,12.0,1.0,47.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,9.0,8.0,1.0,0.0,7242.0,874501,AMBAC FINANCIAL GROUP INC,2015-03-02,23728.07,493.403,0.020794063999999998
114,9.0,0.0,29.0,11.0,21.0,4.0,0.0,1.0,0.0,16.0,6.0,5.0,1.0,0.0,18280.0,1280263,AMBARELLA INC,2015-03-30,410.615,76.508,0.18632539
117,3.0,0.0,27.0,8.0,4.0,2.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,0.0,16869.0,1514991,AMC NETWORKS INC,2015-02-26,4264.915,366.788,0.086001245
118,9.0,1.0,44.0,58.0,15.0,4.0,0.0,2.0,1.0,12.0,8.0,7.0,0.0,0.0,34186.0,1269026,SINTX TECHNOLOGIES INC,2015-03-24,36.454,-23.912,-0.6559499639999999
119,2.0,0.0,32.0,10.0,5.0,0.0,1.0,0.0,0.0,7.0,8.0,7.0,0.0,0.0,17643.0,896262,AMEDISYS INC,2015-03-04,685.085,-3.0210000000000004,-0.004409672
120,7.0,0.0,31.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,6626.0,1002910,AMEREN CORP,2015-03-02,23640.0,630.0,0.026649746000000002
122,0.0,1.0,23.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,8181.0,1059142,AMERICA FIRST MULTIFAMILY-LP,2015-03-05,872.515,26.609,0.030496897000000002
125,5.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3818.0,1062231,AMERICAN AXLE & MFG HOLDINGS,2015-02-23,3202.7,235.6,0.073562931
127,2.0,0.0,41.0,4.0,3.0,6.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,8481.0,1283630,AMERICAN CAMPUS COMMUNITIES,2015-02-26,6025.946999999999,115.991,0.019248593
128,4.0,0.0,27.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,6.0,0.0,7464.0,817473,AMERICAN CAPITAL LTD,2015-03-02,6244.0,-187.0,-0.029948751000000003
131,1.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2680.0,1378706,AMERICAN DG ENERGY INC,2015-03-31,34.023,-5.43,-0.159597919
132,1.0,0.0,14.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2627.0,919012,AMERN EAGLE OUTFITTERS INC,2015-03-11,1612.246,218.138,0.135300692
133,3.0,0.0,36.0,3.0,2.0,3.0,0.0,1.0,0.0,6.0,2.0,6.0,0.0,0.0,7206.0,4904,AMERICAN ELECTRIC POWER CO,2015-02-20,61683.1,2047.1,0.033187372
135,2.0,0.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,7202.0,1039828,AMERICAN EQTY INVT LIFE HLDG,2015-02-27,49041.163,219.83,0.0044825609999999995
136,13.0,1.0,95.0,13.0,10.0,1.0,0.0,0.0,0.0,5.0,2.0,7.0,0.0,1.0,15618.0,4962,AMERICAN EXPRESS CO,2015-02-24,161184.0,5163.0,0.032031715
139,10.0,0.0,33.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,5410.0,97196,AMERICAN INDEPENDENCE CORP,2015-03-16,196.97400000000002,3.529,0.01791607
140,9.0,2.0,79.0,3.0,5.0,0.0,0.0,1.0,0.0,1.0,9.0,10.0,0.0,1.0,11928.0,5272,AMERICAN INTERNATIONAL GROUP,2015-02-20,496943.0,2196.0,0.004419018
141,7.0,1.0,52.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,1.0,6614.0,904163,AMERICAN NATIONAL GROUP INC,2015-02-27,23746.962000000003,242.988,0.010232383000000001
142,20.0,1.0,79.0,57.0,18.0,7.0,0.0,2.0,0.0,3.0,10.0,26.0,3.0,0.0,53956.0,1201792,AMERICAN PUBLIC EDUCATION,2015-02-26,303.89599999999996,32.414,0.106661489
143,0.0,1.0,23.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,9471.0,1102238,AMERICAN REALTY INVESTORS,2015-03-31,1117.368,-1.96,-0.001754122
144,14.0,7.0,87.0,5.0,7.0,2.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,0.0,18323.0,1108236,AMERICAN RIVER BANKSHARES,2015-02-27,634.64,5.268,0.008300769
145,2.0,0.0,27.0,3.0,11.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,8520.0,1056903,AMERICAN STATES WATER CO,2015-02-25,1348.6,60.483999999999995,0.044849474
146,4.0,0.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,6481.0,1053507,AMERICAN TOWER CORP,2015-02-24,26904.272,685.074,0.025463391000000002
147,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2643.0,5981,AMERICAN VANGUARD CORP,2015-02-27,443.539,6.591,0.014860024
149,13.0,1.0,69.0,6.0,2.0,2.0,0.0,1.0,0.0,1.0,7.0,12.0,1.0,1.0,14241.0,820027,AMERIPRISE FINANCIAL INC,2015-02-24,145342.0,1562.0,0.010747066000000001
150,6.0,1.0,18.0,4.0,4.0,5.0,0.0,0.0,0.0,5.0,2.0,6.0,1.0,0.0,6115.0,1018979,AMERISAFE INC,2015-02-27,1502.045,70.462,0.046910712
151,7.0,2.0,21.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,3239.0,1132651,AMES NATIONAL CORP,2015-03-12,1326.747,15.015,0.011317154
152,0.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3058.0,1037868,AMETEK INC,2015-02-24,6664.53,590.859,0.088657265
153,8.0,0.0,55.0,7.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,0.0,3.0,21026.0,318154,AMGEN INC,2015-02-19,71576.0,6939.0,0.096945904
154,8.0,0.0,40.0,35.0,11.0,0.0,0.0,0.0,2.0,17.0,12.0,10.0,0.0,0.0,32972.0,1178879,AMICUS THERAPEUTICS INC,2015-03-03,908.3839999999999,-132.118,-0.145442896
155,6.0,0.0,34.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0,10284.0,1047127,AMKOR TECHNOLOGY INC,2015-02-19,4031.3,56.812,0.014092724
156,2.0,2.0,20.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4606.0,1142750,AMN HEALTHCARE SERVICES INC,2015-02-25,880.432,81.891,0.09301229400000001
158,3.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2994.0,6176,AMPCO-PITTSBURGH CORP,2015-03-16,506.156,1.3730000000000002,0.002712602
159,2.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2770.0,820313,AMPHENOL CORP,2015-02-20,7458.4,763.5,0.1023678
161,14.0,0.0,64.0,20.0,25.0,2.0,2.0,0.0,0.0,4.0,1.0,15.0,1.0,0.0,32137.0,1365916,AMYRIS INC,2015-03-31,110.198,-217.952,-1.9778217390000001
162,12.0,0.0,40.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,8248.0,773910,ANADARKO PETROLEUM CORP,2015-02-20,46414.0,-6692.0,-0.144180635
163,2.0,0.0,12.0,5.0,10.0,2.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,0.0,7587.0,940332,ANADIGICS INC,2015-03-06,31.836,-23.49,-0.73784395
164,4.0,1.0,41.0,4.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,7809.0,885322,ANCHOR BANCORP WISCONSIN INC,2015-03-19,2248.498,137.75799999999998,0.061266677
167,1.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1038.0,52795,ANIXTER INTL INC,2015-02-17,4142.0,127.6,0.030806373999999997
169,2.0,1.0,142.0,4.0,5.0,5.0,0.0,0.0,1.0,10.0,5.0,8.0,2.0,0.0,20363.0,1043219,ANNALY CAPITAL MANAGEMENT,2015-02-26,75190.893,466.556,0.006204954
170,11.0,1.0,18.0,5.0,12.0,1.0,1.0,3.0,0.0,1.0,9.0,4.0,0.0,0.0,11427.0,1013462,ANSYS INC,2015-02-26,2729.9040000000005,252.521,0.092501788
